TITLE = "4x4 Plate Element Analysis"
VARIABLES = "X", "Y", "Z", "u_x", "u_y", "u_z"\

ZONE T="Plate_4x4", NODES=36, ELEMENTS=12, DATAPACKING=POINT, ZONETYPE=FEBRICK

0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
1.00000e+00 0.00000e+00 0.00000e+00 1.20000e-07 0.00000e+00 0.00000e+00
2.00000e+00 0.00000e+00 0.00000e+00 2.40000e-07 0.00000e+00 0.00000e+00
0.00000e+00 1.00000e+00 0.00000e+00 6.45201e-22 1.20000e-07 0.00000e+00
1.00000e+00 1.00000e+00 0.00000e+00 1.20000e-07 1.20000e-07 0.00000e+00
2.00000e+00 1.00000e+00 0.00000e+00 2.40000e-07 1.20000e-07 0.00000e+00
0.00000e+00 2.00000e+00 0.00000e+00 5.29396e-23 2.40000e-07 0.00000e+00
1.00000e+00 2.00000e+00 0.00000e+00 1.20000e-07 2.40000e-07 0.00000e+00
2.00000e+00 2.00000e+00 0.00000e+00 2.40000e-07 2.40000e-07 0.00000e+00
0.00000e+00 0.00000e+00 1.00000e+00 1.22916e-21 -8.88392e-22 -4.00000e-07
1.00000e+00 0.00000e+00 1.00000e+00 1.20000e-07 -1.85288e-22 -4.00000e-07
2.00000e+00 0.00000e+00 1.00000e+00 2.40000e-07 7.11375e-23 -4.00000e-07
0.00000e+00 1.00000e+00 1.00000e+00 4.30134e-22 1.20000e-07 -4.00000e-07
1.00000e+00 1.00000e+00 1.00000e+00 1.20000e-07 1.20000e-07 -4.00000e-07
2.00000e+00 1.00000e+00 1.00000e+00 2.40000e-07 1.20000e-07 -4.00000e-07
0.00000e+00 2.00000e+00 1.00000e+00 -7.94093e-23 2.40000e-07 -4.00000e-07
1.00000e+00 2.00000e+00 1.00000e+00 1.20000e-07 2.40000e-07 -4.00000e-07
2.00000e+00 2.00000e+00 1.00000e+00 2.40000e-07 2.40000e-07 -4.00000e-07
0.00000e+00 0.00000e+00 2.00000e+00 1.03618e-21 -2.97785e-22 -8.00000e-07
1.00000e+00 0.00000e+00 2.00000e+00 1.20000e-07 7.94093e-23 -8.00000e-07
2.00000e+00 0.00000e+00 2.00000e+00 2.40000e-07 7.34536e-22 -8.00000e-07
0.00000e+00 1.00000e+00 2.00000e+00 2.64698e-22 1.20000e-07 -8.00000e-07
1.00000e+00 1.00000e+00 2.00000e+00 1.20000e-07 1.20000e-07 -8.00000e-07
2.00000e+00 1.00000e+00 2.00000e+00 2.40000e-07 1.20000e-07 -8.00000e-07
0.00000e+00 2.00000e+00 2.00000e+00 -4.23516e-22 2.40000e-07 -8.00000e-07
1.00000e+00 2.00000e+00 2.00000e+00 1.20000e-07 2.40000e-07 -8.00000e-07
2.00000e+00 2.00000e+00 2.00000e+00 2.40000e-07 2.40000e-07 -8.00000e-07
0.00000e+00 0.00000e+00 3.00000e+00 -2.79248e-23 7.94093e-23 -1.20000e-06
1.00000e+00 0.00000e+00 3.00000e+00 1.20000e-07 1.16467e-21 -1.20000e-06
2.00000e+00 0.00000e+00 3.00000e+00 2.40000e-07 1.74701e-21 -1.20000e-06
0.00000e+00 1.00000e+00 3.00000e+00 -1.43929e-22 1.20000e-07 -1.20000e-06
1.00000e+00 1.00000e+00 3.00000e+00 1.20000e-07 1.20000e-07 -1.20000e-06
2.00000e+00 1.00000e+00 3.00000e+00 2.40000e-07 1.20000e-07 -1.20000e-06
0.00000e+00 2.00000e+00 3.00000e+00 -6.74979e-22 2.40000e-07 -1.20000e-06
1.00000e+00 2.00000e+00 3.00000e+00 1.20000e-07 2.40000e-07 -1.20000e-06
2.00000e+00 2.00000e+00 3.00000e+00 2.40000e-07 2.40000e-07 -1.20000e-06

1 2 5 4 10 11 14 13
2 3 6 5 11 12 15 14
4 5 8 7 13 14 17 16
5 6 9 8 14 15 18 17
10 11 14 13 19 20 23 22
11 12 15 14 20 21 24 23
13 14 17 16 22 23 26 25
14 15 18 17 23 24 27 26
19 20 23 22 28 29 32 31
20 21 24 23 29 30 33 32
22 23 26 25 31 32 35 34
23 24 27 26 32 33 36 35

