TITLE = "Q4 Element"
VARIABLES = "X", "Y", "Z", "u_x", "u_y", "u_z"

ZONE T="Q4", NODES=8 ELEMENTS=5, DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL

0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
2.50000e+00 0.00000e+00 0.00000e+00 2.50000e-02 -4.20670e-17 0.00000e+00
2.50000e+00 3.00000e+00 0.00000e+00 2.50000e-02 -9.00000e-03 0.00000e+00
0.00000e+00 2.00000e+00 0.00000e+00 0.00000e+00 -6.00000e-03 0.00000e+00
5.00000e-01 5.00000e-01 0.00000e+00 5.00000e-03 -1.50000e-03 0.00000e+00
2.00000e+00 7.50000e-01 0.00000e+00 2.00000e-02 -2.25000e-03 0.00000e+00
1.75000e+00 1.75000e+00 0.00000e+00 1.75000e-02 -5.25000e-03 0.00000e+00
6.50000e-01 1.60000e+00 0.00000e+00 6.50000e-03 -4.80000e-03 0.00000e+00

1        2        6        5
2        3        7        6
5        6        7        8
1        5        8        4
8        7        3        4
