TITLE = "Q8 Element"
VARIABLES = "X", "Y", "Z", "u_x", "u_y", "u_z"

ZONE T="Q8", NODES=20, ELEMENTS=5, DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL

0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
2.50000e+00 0.00000e+00 0.00000e+00 2.50000e-02 7.04731e-18 0.00000e+00
2.50000e+00 3.00000e+00 0.00000e+00 2.50000e-02 -9.00000e-03 0.00000e+00
0.00000e+00 2.00000e+00 0.00000e+00 0.00000e+00 -6.00000e-03 0.00000e+00
5.00000e-01 5.00000e-01 0.00000e+00 5.00000e-03 -1.50000e-03 0.00000e+00
2.00000e+00 7.50000e-01 0.00000e+00 2.00000e-02 -2.25000e-03 0.00000e+00
1.75000e+00 1.75000e+00 0.00000e+00 1.75000e-02 -5.25000e-03 0.00000e+00
6.50000e-01 1.60000e+00 0.00000e+00 6.50000e-03 -4.80000e-03 0.00000e+00
1.20000e+00 0.00000e+00 0.00000e+00 1.20000e-02 -2.90566e-17 0.00000e+00
2.25000e+00 3.75000e-01 0.00000e+00 2.25000e-02 -1.12500e-03 0.00000e+00
1.25000e+00 6.25000e-01 0.00000e+00 1.25000e-02 -1.87500e-03 0.00000e+00
2.50000e-01 2.50000e-01 0.00000e+00 2.50000e-03 -7.50000e-04 0.00000e+00
2.50000e+00 1.50000e+00 0.00000e+00 2.50000e-02 -4.50000e-03 0.00000e+00
1.87500e+00 1.25000e+00 0.00000e+00 1.87500e-02 -3.75000e-03 0.00000e+00
2.12500e+00 2.37500e+00 0.00000e+00 2.12500e-02 -7.12500e-03 0.00000e+00
1.20000e+00 1.67500e+00 0.00000e+00 1.20000e-02 -5.02500e-03 0.00000e+00
5.75000e-01 1.05000e+00 0.00000e+00 5.75000e-03 -3.15000e-03 0.00000e+00
3.25000e-01 1.80000e+00 0.00000e+00 3.25000e-03 -5.40000e-03 0.00000e+00
1.25000e+00 2.50000e+00 0.00000e+00 1.25000e-02 -7.50000e-03 0.00000e+00
0.00000e+00 1.00000e+00 0.00000e+00 0.00000e+00 -3.00000e-03 0.00000e+00

1    2    6    5
2    3    7    6
5    6    7    8
1    5    8    4
8    7    3    4
