TITLE = "4x4 Plate Element Analysis"
VARIABLES = "X", "Y", "Z", "w", "Theta_X", "Theta_Y"

ZONE T="Plate_4x4", NODES=25, ELEMENTS=16, DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL

# 节点坐标和数据 (9x9=81个节点)
# 格式: X, Y, Z, w, THETA_X, Theta_Y
0   0   0   0.00000e+00       0.00000e+00       0.00000e+00
2   0   0   0.00000e+00       0.00000e+00       0.00000e+00
4   0   0   0.00000e+00       0.00000e+00       0.00000e+00
6   0   0   0.00000e+00       0.00000e+00       0.00000e+00
8   0   0   0.00000e+00       0.00000e+00       0.00000e+00
0   2   0   0.00000e+00       0.00000e+00       0.00000e+00
2   2   0   -1.12955e-04      -7.04340e-05       7.04340e-05
4   2   0   -1.88436e-04      -1.14330e-04       2.27144e-20
6   2   0   -1.12955e-04      -7.04340e-05      -7.04340e-05
8   2   0   0.00000e+00       0.00000e+00       0.00000e+00
0   4   0   0.00000e+00       0.00000e+00       0.00000e+00
2   4   0   -1.88436e-04       9.63580e-21       1.14330e-04
4   4   0   -3.14818e-04       5.77120e-20       1.81166e-20
6   4   0   -1.88436e-04       2.88348e-20      -1.14330e-04
8   4   0   0.00000e+00       0.00000e+00       0.00000e+00
0   6   0   0.00000e+00       0.00000e+00       0.00000e+00
2   6   0   -1.12955e-04       7.04340e-05       7.04340e-05
4   6   0   -1.88436e-04       1.14330e-04       3.17097e-21
6   6   0   -1.12955e-04       7.04340e-05      -7.04340e-05
8   6   0   0.00000e+00       0.00000e+00       0.00000e+00
0   8   0   0.00000e+00       0.00000e+00       0.00000e+00
2   8   0   0.00000e+00       0.00000e+00       0.00000e+00
4   8   0   0.00000e+00       0.00000e+00       0.00000e+00
6   8   0   0.00000e+00       0.00000e+00       0.00000e+00
8   8   0   0.00000e+00       0.00000e+00       0.00000e+00


1        2        7        6           
2        3        8        7           
3        4        9        8           
4        5       10        9           
6        7       12       11           
7        8       13       12           
8        9       14       13           
9       10       15       14           
11       12       17       16           
12       13       18       17           
13       14       19       18           
14       15       20       19           
16       17       22       21           
17       18       23       22           
18       19       24       23           
19       20       25       24           
