 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
    1               0.00000e+00       0.00000e+00       0.00000e+00
    2               0.00000e+00       0.00000e+00       0.00000e+00
    3               0.00000e+00       0.00000e+00       0.00000e+00
    4               0.00000e+00       0.00000e+00       0.00000e+00
    5               0.00000e+00       0.00000e+00       0.00000e+00
    6               0.00000e+00       0.00000e+00       0.00000e+00
    7               0.00000e+00       0.00000e+00       0.00000e+00
    8               0.00000e+00       0.00000e+00       0.00000e+00
    9               0.00000e+00       0.00000e+00       0.00000e+00
   10               0.00000e+00       0.00000e+00       0.00000e+00
   11               0.00000e+00       0.00000e+00       0.00000e+00
   12               0.00000e+00       0.00000e+00       0.00000e+00
   13               0.00000e+00       0.00000e+00       0.00000e+00
   14               0.00000e+00       0.00000e+00       0.00000e+00
   15               0.00000e+00       0.00000e+00       0.00000e+00
   16               0.00000e+00       0.00000e+00       0.00000e+00
   17               0.00000e+00       0.00000e+00       0.00000e+00
   18               0.00000e+00       0.00000e+00       0.00000e+00
   19               0.00000e+00       0.00000e+00       0.00000e+00
   20               0.00000e+00       0.00000e+00       0.00000e+00
   21               0.00000e+00       0.00000e+00       0.00000e+00
   22               0.00000e+00       0.00000e+00       0.00000e+00
   23               0.00000e+00       0.00000e+00       0.00000e+00
   24               0.00000e+00       0.00000e+00       0.00000e+00
   25               0.00000e+00       0.00000e+00       0.00000e+00
   26               0.00000e+00       0.00000e+00       0.00000e+00
   27               0.00000e+00       0.00000e+00       0.00000e+00
   28               0.00000e+00       0.00000e+00       0.00000e+00
   29               0.00000e+00       0.00000e+00       0.00000e+00
   30               0.00000e+00       0.00000e+00       0.00000e+00
   31               0.00000e+00       0.00000e+00       0.00000e+00
   32               0.00000e+00       0.00000e+00       0.00000e+00
   33               0.00000e+00       0.00000e+00       0.00000e+00
   34               0.00000e+00       0.00000e+00       0.00000e+00
   35              -7.14761e-08      -6.49286e-07       6.49286e-07
   36              -3.25519e-07      -2.60779e-06       1.34367e-06
   37              -7.20758e-07      -5.57363e-06       1.78352e-06
   38              -1.19806e-06      -9.15953e-06       2.01207e-06
   39              -1.71295e-06      -1.30458e-05       2.09177e-06
   40              -2.23417e-06      -1.69975e-05       2.06765e-06
   41              -2.73990e-06      -2.08465e-05       1.97110e-06
   42              -3.21491e-06      -2.44731e-05       1.82407e-06
   43              -3.64859e-06      -2.77927e-05       1.64206e-06
   44              -4.03362e-06      -3.07461e-05       1.43600e-06
   45              -4.36501e-06      -3.32924e-05       1.21363e-06
   46              -4.63938e-06      -3.54034e-05       9.80398e-07
   47              -4.85452e-06      -3.70604e-05       7.40127e-07
   48              -5.00901e-06      -3.82512e-05       4.95474e-07
   49              -5.10200e-06      -3.89683e-05       2.48307e-07
   50              -5.13305e-06      -3.92078e-05       2.89790e-18
   51              -5.10200e-06      -3.89683e-05      -2.48307e-07
   52              -5.00901e-06      -3.82512e-05      -4.95474e-07
   53              -4.85452e-06      -3.70604e-05      -7.40127e-07
   54              -4.63938e-06      -3.54034e-05      -9.80398e-07
   55              -4.36501e-06      -3.32924e-05      -1.21363e-06
   56              -4.03362e-06      -3.07461e-05      -1.43600e-06
