  NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
    1               0.00000e+00       0.00000e+00       0.00000e+00
    2               0.00000e+00       0.00000e+00       0.00000e+00
    3               0.00000e+00       0.00000e+00       0.00000e+00
    4               0.00000e+00       0.00000e+00       0.00000e+00
    5               0.00000e+00       0.00000e+00       0.00000e+00
    6               0.00000e+00       0.00000e+00       0.00000e+00
    7               0.00000e+00       0.00000e+00       0.00000e+00
    8               0.00000e+00       0.00000e+00       0.00000e+00
    9               0.00000e+00       0.00000e+00       0.00000e+00
   10               0.00000e+00       0.00000e+00       0.00000e+00
   11              -1.46227e-05      -2.41026e-05       2.41026e-05
   12              -3.93926e-05      -6.34691e-05       2.32386e-05
   13              -5.76713e-05      -9.35866e-05       1.28274e-05
   14              -6.41189e-05      -1.04353e-04       5.23473e-20
   15              -5.76713e-05      -9.35866e-05      -1.28274e-05
   16              -3.93926e-05      -6.34691e-05      -2.32386e-05
   17              -1.46227e-05      -2.41026e-05      -2.41026e-05
   18               0.00000e+00       0.00000e+00       0.00000e+00
   19               0.00000e+00       0.00000e+00       0.00000e+00
   20              -3.93926e-05      -2.32386e-05       6.34691e-05
   21              -1.05941e-04      -6.29742e-05       6.29742e-05
   22              -1.56578e-04      -9.42827e-05       3.58677e-05
   23              -1.74791e-04      -1.05753e-04       1.68053e-19
   24              -1.56578e-04      -9.42827e-05      -3.58677e-05
   25              -1.05941e-04      -6.29742e-05      -6.29742e-05
   26              -3.93926e-05      -2.32386e-05      -6.34691e-05
   27               0.00000e+00       0.00000e+00       0.00000e+00
   28               0.00000e+00       0.00000e+00       0.00000e+00
   29              -5.76713e-05      -1.28274e-05       9.35866e-05
   30              -1.56578e-04      -3.58677e-05       9.42827e-05
   31              -2.32859e-04      -5.43364e-05       5.43364e-05
   32              -2.60523e-04      -6.11649e-05       1.76103e-19
   33              -2.32859e-04      -5.43364e-05      -5.43364e-05
   34              -1.56578e-04      -3.58677e-05      -9.42827e-05
   35              -5.76713e-05      -1.28274e-05      -9.35866e-05
   36               0.00000e+00       0.00000e+00       0.00000e+00
   37               0.00000e+00       0.00000e+00       0.00000e+00
   38              -6.41189e-05      -4.59345e-20       1.04353e-04
   39              -1.74791e-04      -2.05910e-19       1.05753e-04
   40              -2.60523e-04      -1.44835e-19       6.11649e-05
   41              -2.91688e-04       1.42095e-20      -1.77004e-19
   42              -2.60523e-04       2.09651e-19      -6.11649e-05
   43              -1.74791e-04       8.73487e-20      -1.05753e-04
   44              -6.41189e-05       4.96999e-20      -1.04353e-04
   45               0.00000e+00       0.00000e+00       0.00000e+00
   46               0.00000e+00       0.00000e+00       0.00000e+00
   47              -5.76713e-05       1.28274e-05       9.35866e-05
   48              -1.56578e-04       3.58677e-05       9.42827e-05
   49              -2.32859e-04       5.43364e-05       5.43364e-05
   50              -2.60523e-04       6.11649e-05      -2.49953e-19
   51              -2.32859e-04       5.43364e-05      -5.43364e-05
   52              -1.56578e-04       3.58677e-05      -9.42827e-05
   53              -5.76713e-05       1.28274e-05      -9.35866e-05
   54               0.00000e+00       0.00000e+00       0.00000e+00
   55               0.00000e+00       0.00000e+00       0.00000e+00
   56              -3.93926e-05       2.32386e-05       6.34691e-05
   57              -1.05941e-04       6.29742e-05       6.29742e-05
   58              -1.56578e-04       9.42827e-05       3.58677e-05
   59              -1.74791e-04       1.05753e-04      -1.68761e-19
   60              -1.56578e-04       9.42827e-05      -3.58677e-05
   61              -1.05941e-04       6.29742e-05      -6.29742e-05
   62              -3.93926e-05       2.32386e-05      -6.34691e-05
   63               0.00000e+00       0.00000e+00       0.00000e+00
   64               0.00000e+00       0.00000e+00       0.00000e+00
   65              -1.46227e-05       2.41026e-05       2.41026e-05
   66              -3.93926e-05       6.34691e-05       2.32386e-05
   67              -5.76713e-05       9.35866e-05       1.28274e-05
   68              -6.41189e-05       1.04353e-04      -8.63355e-20
   69              -5.76713e-05       9.35866e-05      -1.28274e-05
   70              -3.93926e-05       6.34691e-05      -2.32386e-05
   71              -1.46227e-05       2.41026e-05      -2.41026e-05
   72               0.00000e+00       0.00000e+00       0.00000e+00
   73               0.00000e+00       0.00000e+00       0.00000e+00
   74               0.00000e+00       0.00000e+00       0.00000e+00
   75               0.00000e+00       0.00000e+00       0.00000e+00
   76               0.00000e+00       0.00000e+00       0.00000e+00
   77               0.00000e+00       0.00000e+00       0.00000e+00
   78               0.00000e+00       0.00000e+00       0.00000e+00
   79               0.00000e+00       0.00000e+00       0.00000e+00
   80               0.00000e+00       0.00000e+00       0.00000e+00
   81               0.00000e+00       0.00000e+00       0.00000e+00
