 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
    1               0.00000e+00       0.00000e+00       0.00000e+00
    2               0.00000e+00       0.00000e+00       0.00000e+00
    3               0.00000e+00       0.00000e+00       0.00000e+00
    4               0.00000e+00       0.00000e+00       0.00000e+00
    5               0.00000e+00       0.00000e+00       0.00000e+00
    6               0.00000e+00       0.00000e+00       0.00000e+00
    7              -1.12955e-04      -7.04340e-05       7.04340e-05
    8              -1.88436e-04      -1.14330e-04       2.27144e-20
    9              -1.12955e-04      -7.04340e-05      -7.04340e-05
   10               0.00000e+00       0.00000e+00       0.00000e+00
   11               0.00000e+00       0.00000e+00       0.00000e+00
   12              -1.88436e-04       9.63580e-21       1.14330e-04
   13              -3.14818e-04       5.77120e-20       1.81166e-20
   14              -1.88436e-04       2.88348e-20      -1.14330e-04
   15               0.00000e+00       0.00000e+00       0.00000e+00
   16               0.00000e+00       0.00000e+00       0.00000e+00
   17              -1.12955e-04       7.04340e-05       7.04340e-05
   18              -1.88436e-04       1.14330e-04       3.17097e-21
   19              -1.12955e-04       7.04340e-05      -7.04340e-05
   20               0.00000e+00       0.00000e+00       0.00000e+00
   21               0.00000e+00       0.00000e+00       0.00000e+00
   22               0.00000e+00       0.00000e+00       0.00000e+00
   23               0.00000e+00       0.00000e+00       0.00000e+00
   24               0.00000e+00       0.00000e+00       0.00000e+00
   25               0.00000e+00       0.00000e+00       0.00000e+00
