Kirchhoff Plate Uniform Load Example
9 1 1 1
1 1 1 1 1 1 1 0.000000 0.000000 0
2 1 1 1 1 1 1 4.000000 0.000000 0
3 1 1 1 1 1 1 8.000000 0.000000 0
4 1 1 1 1 1 1 0.000000 4.000000 0
5 1 1 0 0 0 1 4.000000 4.000000 0
6 1 1 1 1 1 1 8.000000 4.000000 0
7 1 1 1 1 1 1 0.000000 8.000000 0
8 1 1 1 1 1 1 4.000000 8.000000 0
9 1 1 1 1 1 1 8.000000 8.000000 0
1 19
1 3 -4.00000000
1 4 -2.66666667
1 5 2.66666667
2 3 -8.00000000
2 5 5.33333333
3 3 -4.00000000
3 4 2.66666667
3 5 2.66666667
4 3 -8.00000000
5 3 -16.00000000
6 3 -8.00000000
7 3 -4.00000000
7 4 2.66666667
7 5 -2.66666667
8 3 -8.00000000
8 5 -5.33333333
9 3 -4.00000000
9 4 -2.66666667
9 5 -2.66666667
6 4 1
1 200000000000.0 0.3 0.01
1 1 2 5 4 1
2 2 3 6 5 1
3 4 5 8 7 1
4 5 6 9 8 1
