Kirchhoff Plate Uniform Load Example
25 1 1 1
1 1 1 1 1 1 1 0.000000 0.000000 0
2 1 1 1 1 1 1 2.000000 0.000000 0
3 1 1 1 1 1 1 4.000000 0.000000 0
4 1 1 1 1 1 1 6.000000 0.000000 0
5 1 1 1 1 1 1 8.000000 0.000000 0
6 1 1 1 1 1 1 0.000000 2.000000 0
7 1 1 0 0 0 1 2.000000 2.000000 0
8 1 1 0 0 0 1 4.000000 2.000000 0
9 1 1 0 0 0 1 6.000000 2.000000 0
10 1 1 1 1 1 1 8.000000 2.000000 0
11 1 1 1 1 1 1 0.000000 4.000000 0
12 1 1 0 0 0 1 2.000000 4.000000 0
13 1 1 0 0 0 1 4.000000 4.000000 0
14 1 1 0 0 0 1 6.000000 4.000000 0
15 1 1 1 1 1 1 8.000000 4.000000 0
16 1 1 1 1 1 1 0.000000 6.000000 0
17 1 1 0 0 0 1 2.000000 6.000000 0
18 1 1 0 0 0 1 4.000000 6.000000 0
19 1 1 0 0 0 1 6.000000 6.000000 0
20 1 1 1 1 1 1 8.000000 6.000000 0
21 1 1 1 1 1 1 0.000000 8.000000 0
22 1 1 1 1 1 1 2.000000 8.000000 0
23 1 1 1 1 1 1 4.000000 8.000000 0
24 1 1 1 1 1 1 6.000000 8.000000 0
25 1 1 1 1 1 1 8.000000 8.000000 0
1 39
1 3 -1.00000000
1 4 -0.33333333
1 5 0.33333333
2 3 -2.00000000
2 5 0.66666667
3 3 -2.00000000
3 5 0.66666667
4 3 -2.00000000
4 5 0.66666667
5 3 -1.00000000
5 4 0.33333333
5 5 0.33333333
6 3 -2.00000000
7 3 -4.00000000
8 3 -4.00000000
9 3 -4.00000000
10 3 -2.00000000
11 3 -2.00000000
12 3 -4.00000000
13 3 -4.00000000
14 3 -4.00000000
15 3 -2.00000000
16 3 -2.00000000
17 3 -4.00000000
18 3 -4.00000000
19 3 -4.00000000
20 3 -2.00000000
21 3 -1.00000000
21 4 0.33333333
21 5 -0.33333333
22 3 -2.00000000
22 5 -0.66666667
23 3 -2.00000000
23 5 -0.66666667
24 3 -2.00000000
24 5 -0.66666667
25 3 -1.00000000
25 4 -0.33333333
25 5 -0.33333333
6 16 1
1 200000000000.0 0.3 0.01
1 1 2 7 6 1
2 2 3 8 7 1
3 3 4 9 8 1
4 4 5 10 9 1
5 6 7 12 11 1
6 7 8 13 12 1
7 8 9 14 13 1
8 9 10 15 14 1
9 11 12 17 16 1
10 12 13 18 17 1
11 13 14 19 18 1
12 14 15 20 19 1
13 16 17 22 21 1
14 17 18 23 22 1
15 18 19 24 23 1
16 19 20 25 24 1
